FDA15,3735.138
DRC01,443.4228
FDN15,2097.27
FDX07,732.38
NCD19,994.7052
FDP36,556.6088
FDO10,343.5528
FDP10,4022.7636
FDH17,1076.5986
FDU28,4710.535
FDY07,1516.0266
FDA03,2187.153
FDX32,1589.2646
FDS46,2145.2076
FDF32,1977.426
FDP49,1547.3192
NCB42,1621.8888
FDP49,718.3982
DRI11,2303.668
FDU02,2748.4224
FDN22,3775.086
FDW12,4064.0432
NCB30,1587.2672
FDC37,214.3876
FDR28,4078.025
NCD06,838.908
FDV10,1065.28
DRJ59,308.9312
FDE51,178.4344
FDC14,125.8362
FDV38,163.7868
NCS17,2741.7644
FDP33,3068.0064
FDO23,2174.5028
DRH01,2085.2856
NCX29,3791.0652
FDV20,2797.6916
DRZ11,1609.9044
FDX10,388.1614
FDB34,2180.495
FDU02,3435.528
FDK43,2150.534
FDA46,2527.3768
FDC02,6768.5228
FDL50,373.5138
FDM39,358.2004
NCP05,2428.8384
FDV49,5815.0972
FDL12,2576.646
FDS02,780.3176
NCL17,3134.5864
FDM40,850.8924
FDR13,810.9444
FDA43,3121.2704
NCP18,4815.0656
FDK21,6258.52
NCX54,2117.244
DRK35,796.9626
FDY21,4910.275
FDI26,892.172
FDM20,3185.1872
FDV27,1062.6168
FDF09,484.7024
FDY40,147.8076
FDY45,2543.356
FDC46,184.4266
FDH19,4865.6664
FDZ03,1118.544
DRH37,2302.3364
NCI17,2027.361
FDJ58,3435.528
FDL12,599.22
FDH35,4604.6728
FDG02,2285.0256
NCZ18,5580.7356
FDC29,2290.352
FDQ10,1207.0954
FDN48,643.1628
FDL04,1587.933
FDV25,5305.0944
FDD58,1697.79
FDN04,1427.4752
FDV45,4693.89
NCL18,583.2408
FDR12,3091.9752
FDG20,2479.4392
FDZ55,2716.464
FDQ49,3285.723
FDN33,661.8052
FDN27,1523.3504
FDW20,369.519
DRG27,690.4346
DRI25,1381.535
FDA44,622.523
NCR17,1274.3412
FDU04,487.3656
FDF41,1231.73
FDB56,3755.112
NCP18,4363.6532
FDB56,1314.2892
FDT28,1805.6496
FDD10,2854.9504
FDW57,3896.2616
DRB48,667.7974
FDP09,3185.853
FDH14,2247.7408
FDA47,1794.331
FDG12,2530.7058
DRE60,679.116
DRK49,812.276
FDD03,699.09
FDS52,2732.4432
FDW39,176.437
FDX34,4097.3332
FDV11,3151.8972
FDD17,5942.265
FDZ16,4843.695
FDZ46,2542.0244
DRA12,2552.6772
FDY58,1141.847
NCF19,680.4476
DRJ13,2085.9514
FDB14,186.424
